INPUT_TABLE
Variable ID
Indiaplantelec_logit

region,supplysector,subsector0,subsector1,subsector,logit.year.fillout,logit.exponent,logit.type
India,electricity,IndCstS,refined liquids,refined liquids (CC),1975,-10,relative.cost.logit
India,electricity,IndCstS,refined liquids,refined liquids (CC CCS),1975,-10,relative.cost.logit
India,electricity,NarmadaR,refined liquids,refined liquids (steam/CT),1975,-10,relative.cost.logit
India,electricity,NarmadaR,refined liquids,refined liquids (CC),1975,-10,relative.cost.logit
India,electricity,NarmadaR,refined liquids,refined liquids (CC CCS),1975,-10,relative.cost.logit
India,electricity,SabarmatiR,biomass,biomass (conv),1975,-10,relative.cost.logit
India,electricity,SabarmatiR,biomass,biomass (IGCC),1975,-10,relative.cost.logit
India,electricity,SabarmatiR,biomass,biomass (conv CCS),1975,-10,relative.cost.logit
India,electricity,SabarmatiR,biomass,biomass (IGCC CCS),1975,-10,relative.cost.logit
India,electricity,GangesR,biomass,biomass (conv),1975,-10,relative.cost.logit
India,electricity,GangesR,biomass,biomass (IGCC),1975,-10,relative.cost.logit
India,electricity,GangesR,biomass,biomass (conv CCS),1975,-10,relative.cost.logit
India,electricity,GangesR,biomass,biomass (IGCC CCS),1975,-10,relative.cost.logit
India,electricity,MahiR,biomass,biomass (conv),1975,-10,relative.cost.logit
India,electricity,MahiR,biomass,biomass (IGCC),1975,-10,relative.cost.logit
India,electricity,MahiR,biomass,biomass (conv CCS),1975,-10,relative.cost.logit
India,electricity,MahiR,biomass,biomass (IGCC CCS),1975,-10,relative.cost.logit
India,electricity,TaptiR,biomass,biomass (conv),1975,-10,relative.cost.logit
India,electricity,TaptiR,biomass,biomass (IGCC),1975,-10,relative.cost.logit
India,electricity,TaptiR,biomass,biomass (conv CCS),1975,-10,relative.cost.logit
India,electricity,TaptiR,biomass,biomass (IGCC CCS),1975,-10,relative.cost.logit
India,electricity,BengalW,biomass,biomass (conv),1975,-10,relative.cost.logit
India,electricity,BengalW,biomass,biomass (IGCC),1975,-10,relative.cost.logit
India,electricity,BengalW,biomass,biomass (conv CCS),1975,-10,relative.cost.logit
India,electricity,BengalW,biomass,biomass (IGCC CCS),1975,-10,relative.cost.logit
India,electricity,BrahmaniR,biomass,biomass (conv),1975,-10,relative.cost.logit
India,electricity,BrahmaniR,biomass,biomass (IGCC),1975,-10,relative.cost.logit
India,electricity,BrahmaniR,biomass,biomass (conv CCS),1975,-10,relative.cost.logit
India,electricity,BrahmaniR,biomass,biomass (IGCC CCS),1975,-10,relative.cost.logit
India,electricity,MahanadiR,biomass,biomass (conv),1975,-10,relative.cost.logit
India,electricity,MahanadiR,biomass,biomass (IGCC),1975,-10,relative.cost.logit
India,electricity,MahanadiR,biomass,biomass (conv CCS),1975,-10,relative.cost.logit
